"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.414365975186229,0.23780593671836,0.706048556836322,0.18071171711199,0.33352264505811,0.94545433181338,0.68602073029615,0.417163092410192,0.0340359059628099,0.875920289894566
"2",0.11284223687835,0.86668069427833,0.272892326582223,0.119057011324912,0.816551349125803,0.727249070070684,0.321907840203494,0.189842547988519,0.162442210130394,0.268610918195918
"3",0.601811304222792,0.294557489920408,0.0328499295283109,0.994095282396302,0.0407585136126727,0.154983167070895,0.525550560792908,0.804328557103872,0.0149219755548984,0.406216791598126
"4",0.286878967890516,0.58834204194136,0.00480067986063659,0.583577750483528,0.979108160361648,0.87131470348686,0.972245441284031,0.972405646694824,0.628607794409618,0.41076299129054
"5",0.962923389393836,0.648119335295632,0.515449930913746,0.572080541402102,0.000824446091428399,0.64033616357483,0.625952241243795,0.0598847682122141,0.230220477329567,0.992494767997414
"6",0.144328177440912,0.750791896600276,0.861859634285793,0.354389169020578,0.703581498470157,0.404957318678498,0.810563425766304,0.0491298059932888,0.977248539216816,0.541529144626111
"7",0.907726995181292,0.163754384964705,0.238539478043094,0.580903248395771,0.0243678807746619,0.360869818832725,0.77448583394289,0.736999922432005,0.889434733428061,0.334676081780344
"8",0.240829691756517,0.284431126900017,0.915098227094859,0.805902263848111,0.0522146741859615,0.7365628676489,0.314213215839118,0.893902340438217,0.335047870641574,0.826507465681061
"9",0.473412655759603,0.838852253975347,0.974864657269791,0.0580038737971336,0.630277332151309,0.0716162633616477,0.26222554128617,0.701257407432422,0.622700625797734,0.572731642518193
"10",0.140050654765218,0.806736546102911,0.633007762953639,0.68411652627401,0.395594847621396,0.473334589507431,0.634811253519729,0.300850145053118,0.533507719635963,0.570399805204943
"11",0.458484898554161,0.650031415978447,0.414562139892951,0.0469647592399269,0.0985572636127472,0.910996075253934,0.367680413182825,0.514246321748942,0.376044765114784,0.27335919579491
"12",0.523750737542287,0.531987990951166,0.57488540513441,0.34986434224993,0.557698284042999,0.959130274830386,0.0992862349376082,0.796260413713753,0.675341344671324,0.775579013396055
"13",0.869840264087543,0.788279775297269,0.188199830474332,0.96755164465867,0.0679372446611524,0.729575125966221,0.952298078453168,0.785765857901424,0.36386095918715,0.212268335744739
"14",0.792642392218113,0.410253549693152,0.839096883777529,0.816539713880047,0.423604246461764,0.472312923287973,0.685824288520962,0.635336351348087,0.188265886856243,0.743702200707048
"15",0.447770395549014,0.441770196193829,0.509965835371986,0.941569119459018,0.20880166394636,0.26754070003517,0.1901670335792,0.697479092283174,0.0718451433349401,0.41708353953436
